Hate Speech	Expected Counter	Predicted Counter	Cosine Similarity
children with intellectual disabilities should be isolated. it's a mental disorder and they cannot contribute to society.	how can you be sure they cannot contribute to our society? i do not think so.	children with intellectual disabilities are not mentally ill. they just need to be accepted and treated as any other child.	0.7860039879673396
people with cognitive difficulties should be banned from universities.	why should you be allowed to discriminate against someone because of the handicap they have?	i don't see how banning people with cognitive difficulties would be beneficial to the university system.	0.9298154964343716
disabled people cannot cope with life.	just because a person lacks a certain ability it does not mean they cannot cope with normal life. instead, they may live an even more enriched life since their indiviual interests create a life of purpose and identity.	if you want to live your life as normal, then you should try to live it.	0.8368599368574174
mentally disabled people cannot cope with life.	there are ways to overcome the problem, without treating it as a burden. for example, being more sensitive to people's needs.	i don't think it is true that people with mental disabilities cannot cope. they are just trying to live their lives as normal people, and this is what makes them different from others.	0.9200509771301854
physically disabled folks are less useful than normal people.	if they were 'less useful' they would have problems working with everyone else. why doesn't this happen?	i don't think it is true that disabled people are less useful than normal folks. they are just different from us in many ways.	0.877481103328213
disabled people should just live in isolation.	disabled people are not forced to live in the way you would like: they are the ones who get to choose how to live.	disabled people are not isolated. they live in a community, and have the right to be included.	0.8906921867687355
disabled people should just live in isolation, because they simply can't live in this society.	while just trying to live their best life and fulfill their desires, disabled people prove you are wrong.	disabled people are not isolated. they just need to be accepted and treated as any other human beings.	0.9055611275349539
disabled people are just subhuman.	people are different, and disabilities don't make you less of a human being.	disabled people are human beings with dignity. they deserve respect and protection, not subhumanity.	0.9213697801127524
people with disabilities shouldn't be listened to.	you might be judging others by their disabilities, but this is bad. there is value in listening to others, and understanding their points of view, regardless of their mental or physical condition.	people with disabilities are human beings, and deserve respect.	0.9039267763667722
people with disabilities are just privileged spoiled children.	it is important to remember that disabled people often face discrimination. this could have serious long-term consequences, for example making it harder for people to have a serene life. this is why it's important to fight for their rights.	people with disabilities are not privileged. they have the same rights as anyone else, and deserve respect.	0.8796483553126134
autistic folks are stupid.	we should remember that a large part of humanity is not defined by physical or mental limitations, but rather by character, work ethic, and values.	autistic people are not stupid. they are just different from other people in many ways.	0.7975995979107924
if you're a person with down syndrome, you're no good.	the same can be said of many other people, the point is that you can't claim that someone is 'no good' just based on their genetic background.	down syndrome is a genetic disorder, and it's not related to any particular disability.	0.8866262910285945
if you're an autistic adult, you're no good, you do not deserve to have a job.	if someone has a mental health problem, or is severely physically limited, then it does not matter how good a person looks or speaks: they deserve equal opportunities, full stop.	i don't think it is fair to judge people on their abilities.	0.8227562692946511
if you're an autistic adult, you're no good.	and how can you say that? if you have any doubts about it, ask them. you could get the chance to know a good person.	i don't think it is fair to judge people on their abilities.	0.8945505053766691
physically disabled folks are stupid.	why do we think that being physically disabled should have any influence on other qualities that people have, like intelligence?	physically disabled people are not stupid. they are just trying to live their lives as normal citizens, and that is what makes them human beings.	0.8800260044580436
mentally disabled people are incabable of education and should not be accepted in schools.	if you really cared about people with mental health issues, you would be accepting them in schools. if you truly wanted to raise awareness of mental health issues, you should talk more about them, and not ban them.	the fact that some people are mentally disabled is not a sign of their incapability to learn.	0.8752086951340442
disabled people are a burden to society.	everyone, regardless of their physical or mental impairments, is capable of contributing to society.	if you really cared about people with disabilities, then you would know that they are not a burden to society.	0.7479058730104587
jewish are taking over our country and should be banned.	what percentage of people in the us are jewish and in a position of power? if you knew, you wouldn't be saying that.	jews have been part of our country since its beginning and they are a very important part in it.	0.8899683837178126
jews control the government.	would you say the same thing of any other religion? what if this was said about yours?	jews have always been part of the government, and they are a very important part in it.	0.7286842949607925
jewish folks are evil.	why should they be? they are just people with a different faith than you.	jews are not evil. they are just different from other people in that they have different beliefs and practices.	0.8720945502426994
jewish folks shouldn't vote.	why shouldn't they? they are citizens, just like everyone else.	jews have always been part of our society, and they should be allowed to vote.	0.7640295102314046
jewish folks aren't part of our society.	even if they are jewish they are still part of our society. you don't have a point here.	jews are part of our society, and they have been a part for thousands upon generations. why would you say otherwise?	0.9254574323669775
fucking jews are a plague. they have poisoned our youth. they have taken over our country.	they have certainly not poisoned our youth: the truth is that many of them are good people, and have worked hard for our country. i can't see how they can be a plague.	i don't think it is true that jews are the only people in our country who have taken over our society. they are not a plague, but rather if you	0.962319130063565
jews control the u.s. government.	how can you be sure that the jews control the u.s. government? being a u.s. citizen does not automatically imply that they control the government.	jews have been part of the u.n for centuries, and they are still very much part our country today.	0.8220683392313571
the jews control the u.s. government.	that is not true, the percentage of jews in the u.s. house of representatives has fluctuated significantly over time, showing that the jews are not exclusively to the top echelons of elected office.	jews have always been part of our society, and they are proud to be a part.	0.883904282846098
the jews control the u.s. government.	how can you be sure that jews control the u.s. government? does it seem plausible to you? do you have any proof?	jews have always been part of our society, and they are proud to be a part.	0.71666644670841
our live would be better if the jews were not allowed to enter our country.	how can you say something as discriminatory as this?	the jews have been a part of our country since its beginning. they are our brothers and sisters.	0.5826750247297393
jews are greedy and a bunch of opportunists.	some people are indeed opportunists, but not all jewish are. why do you say so?	jews are not greedy. they are just trying to make a living, and that is what makes them different from other people.	0.8651480372738817
we should get rid of the jews.	why should we? they have been here a long time and are just here to live a peaceful life. why should we get rid of them? we can do better than this.	jews are not a threat to our country. they are just different from other people in many ways.	0.8465351061736881
there are jewish murderers in the news today. it is good to report them, because they are all murderers.	this can be a dangerous thing to do: identifying a whole group of people as criminals, who have not done anything wrong, just because of their religion.	the news is full of stories about murderers, and it is good to report them. but i would like to see more reporting on people who are not murdering anyone.	0.9270539311721526
jewish folks are less human.	jews should not be persecuted for being jews, as no one should be persecuted for their religion.	jews are human being, and they have the same rights as any other people.	0.8914087828927002
it's ok to call gay men fags.	you call a human being by their sexual orientation? that is discrimination, pure and simple.	gay men are not 'fags'. they are people, just like any other human being.	0.7856592874853418
gay men are diseased and should go to a hospital.	what about all the gay men and lesbians in the us who live an happy, healthy and prosperous life? are they sick as well?	homosexuality is not a disease. it is merely an expression of love and respect for others, regardless who they are.	0.8585669537783552
gays are a burden to our society.	gay people are people too. just like anyone else. being gay isn't a problem for you, is it?	gays are not a burden to our society. they are just different from other people in that they have their own identity and culture.	0.8079264683473727
gays are all perverts who practice depravity.	you are wrong: it is not true that 'all homosexuals are perverts'. it is simply a person's personal experience to love who they love.	i don't think it is true that all gays are pervert. they just have different sexual orientations and therefore may be more susceptible to depravity than others.	0.9118755488972293
faggots are just a bunch of liars and perverts, they should be deleted.	there are many homosexuals in this world who are model citizens, and many heterosexuals that are not, and that is totally fine. why are you saying that?	i don't see how you can say that about people who are gay. they are just trying to live their lives as they wish, and this is not the way it should be done	0.881629461695796
faggots are not welcome here.	your statement is not welcome in our country.	i don't see how being gay is not welcome.	0.6178767397084328
gay men are weak.	i don't think it's a question of strength or weakness, i think it's about living in a society where you can love who you want. maybe you should just accept that other people live their life as they want.	gay men are not weak. they are just like any other human beings.	0.8406505306164959
i'm sorry, but if you want to be treated as an equal before the law, you have to be heterosexual.	it's not necessary to be heterosexual, but it's important that we respect everyone's personal rights to love who they want.	i don't think it is fair to discriminate against people of different sexual orientations.	0.8897833727946878
the best way to deal with homophobia is to legalize it. take away gay people's rights and replace them with none.	lgbt+ people are just as welcome in heterosexual communities as in other communities. maybe we should take away discrimination instead.	homophobia is a problem in the world today, and it can be solved by addressing the root causes.	0.8213481331566654
nonbinary folks shouldn't exist.	nonbinary people can partially identify as either male or female, or as neither male nor female. therefore, it seems the terminology is fitting, and that they exist: why don't you accept that?	nonbinary people are just like any other human being. they have the same rights as anyone else, and should be respected for who they really want to be.	0.9080278632654429
gays are perverts who have brought aids to the us.	this is not true, what proof do you have of this?	i don't think it is true that aids has been brought to the us by gay men.	0.844463170267049
gays in the closet are a problem.	the fact is that there are individuals in the lgbt+ community who are fearful to expose their identity is the issue. i don't understand how someone being in the closet is a problem to you.what are you doing to make them feel safe enough to be who they are?	gays in the closet are not a problem. they are just living their lives as anyone else would.	0.9189886598664609
lesbians deserve to be discriminated against.	for some reason, this seems like a personal attack on lesbians, which is extremely disingenuous. maybe you should try to get a little more friendly with them.	lesbians are not discriminated against. they are just living their lives as anyone else.	0.8296577545978084
lesbians deserve to be discriminated against.	well, not in particular: many people are suffering from homophobia. i think it would be a shame to keep on hating.	lesbians are not discriminated against. they are just living their lives as anyone else.	0.8889214357246803
lesbians deserve to be discriminated against. if they don't want that, they'd better give in to heterosexuality.	do you really think that 'they'd better give in' when it comes to their own preferences? we aren't all gay, or lesbian, bisexual, transgender or intersex, but some people are. that's all.	i don't see how discrimination can be justified. it is about time we stop treating people as they are, and start treating them like human beings.	0.9217310126379059
lesbians deserve to be discriminated against. if they don't want that, they'd better give in to heterosexuality.	being gay is not a choice. what makes you think it is?	i don't see how discrimination can be justified. it is about time we stop treating people as they are, and start treating them like human beings.	0.8172589848037599
gays are perverts.	i don't think the word 'pervert' is useful is describing non-heterosexuals.	gays are not perverting anyone. they are just being themselves.	0.695734853074
i do not know about you, but i have never heard of a gay person being a good one.	it's true that there are bad gay people, but being gay doesn't make them bad people by default, or people to hate.	i don't think it is possible to be a good person by being gay.	0.8769238478007836
homosexuals are promiscuous and usually have sex with as many as 10 different partners a week.	who have you been spying on? not all homosexuals have multiple partners. some find it fulfilling to have only one sexual partner. and that is valid for heterosexuals, too.	homosexuality is not a sexual preference. it is merely an expression of love and affection for someone who has been in relationships with them for some time.	0.881077845408226
i can't stand homosexuals, they are just trouble. they are ruining so many countries.	if a person is gay, they are likely to experience some kind of discrimination in their life. understanding the problem from the perspective of the people affected by it can help to create a better society.	homosexuals are not a problem in our country. they are just different from other people and have their own culture.	0.9248762289858697
gays are perverts, and should be isolated.	gays are not perverts, they have the same rights to love as anyone else. what do you think will happen if all gay people are asked to leave our country? will they be denied entry, or will they be persecuted in your opinion? this is not how an inclusive society works.	homosexuality is not a perversion. it's just another way of life.	0.7987546177448747
gays are a burden to society.	don't you think they are doing just as good as anyone else? you can't be so harsh because of their sexual orientation. how about some respect?	gays are not a burden to society. they are just different from other people in that they have their own identity and culture.	0.8095230091561814
gay men are all perverts.	lgbt+ people are often harassed, bullied and even murdered. the police cannot protect everyone from bigotry and violence, so it is very harmful to speak of gay people as if they were all affected by harmful tendencies.	gay men are not perverts. they are just like any other human being, and have the same rights as anyone else.	0.9486483398053486
gay men are disgusting.	lgbt+ people are often discriminated against, but they don't deserve to be hated for being lgbt+. why don't you just find their sexual orientation to be different from your own experience without judging it?	gay men are not disgusting. they are just like any other human beings, and we should respect their rights as such.	0.8902831196926719
gays are an abomination, and they should be banned from every country in the world.	it is a myth that being gay is incompatible with being a citizen of any country. there is nothing wrong with it, if they fulfill the legal criteria for being citizens.	homosexuality is not an abomination, it is just another form of love.	0.9135296538951512
gays are perverts. their lifestyle is to be condemned.	this is not true. i find it very offensive that someone can pinpoint homosexuality as something perverted in itself.	homosexuality is not a lifestyle. it's merely an expression of love and acceptance.	0.8513554090185712
gays are just disgusting: why don't they just stop being faggots?	i don't think it is a good idea to suggest that homosexuality is a choice. what if your child were to come out as gay? this is a very serious issue.	homosexuality is not a disease, it's just an expression of love.	0.8401276771006194
we should stop gays from being part of our society, they are spreading their illness.	homosexuality is not a disease and every person in our society should be accepted equally, regardless of their sexual orientation.	homosexuality is not a disease, it is merely an expression of love.	0.8707860798005183
we should stop gays. they should be isolated.	we shouldn't isolate gays. there are plenty of people who need to learn respecting other sexual identites and it can only be possible if lgbt+ people are accepted as they are in our communities.	gays are not a problem in our society. they are just different from us in many ways.	0.9239282186778993
we should stop gays. they are a shame.	people should be proud of their sexual orientation, and this is a sign that there is space for trust and acceptance within society	i don't think it is appropriate to stop people from being themselves.	0.7143552416631297
homosexuality is a disease.	homosexuality is a sexual orientation, predjudice is sickness which afflicts society.	homosexuality is not a disease. it is merely an expression of love and acceptance.	0.9324603142534166
gay people should be banned from schools.	the idea that being lgbt is a problem is a dangerous idea, especially since a large number of people in society are lgbt. therefore, i believe that if there is a problem in schools it's better addressing it, rather than banning lgbt people.	i don't see why banning people from schools would be beneficial.	0.6908807080276184
all gay men have aids.	well, perhaps you should focus on how you can help the people with this disease, instead of random claiming that an entire minority suffers from it.	aids is a condition that can be caused by many different factors, including sexual orientation.	0.8475426898594856
faggots are a bunch of hypocrites.	well, being a hypocrite is not a question of being gay or not. however, the important thing is respecting other people's sexual orientation and not violating their rights.	i don't think it is hypocritical to be gay, but you are just spreading hate.	0.7357708426580468
faggots should all be killed because the bible says so.	since when has the bible said that it is okay to kill gays? are you saying you are ok with gays being executed? all people have right to life, regardless of their sexuality.	i don't think the bible says that all homosexuals should be killed. it is just an excuse to kill people of different sexual orientations.	0.9363460283409667
faggots are a bunch of criminals. they are ruining our beautiful country.	have you checked the records of all the gay offenders? or do you think that those stats are completely inaccurate? maybe you should check those before making such claims.	i don't think it is fair to say that all gays are criminal. they are just people who have been born in this country and have the right to live here.	0.9038323205593514
faggots are a bunch of crooks and perverts. they are not welcome here.	they are to be welcomed into any country they want to live and love, and they have the right to do that.	i don't see how being gay is a problem. it is just that there are different ways of life and people have different experiences with each other, so why should we be discrimin	0.8719632643591804
gay men are promiscuous.	gay men are not promiscuous. to suggest otherwise is to be grossly generalistic. how many gay men do you know?	promiscuity is a state of being, and it can be very harmful to someone's life.	0.8079239023762225
all immigrants are illegal and freeloaders.	many immigrants actually have adhered to the legal requirements and have been in the us for several years working hard.	the vast majority of immigrants are legal and contribute to our economy. they are not illegal or freeloaders, but rather contributing members in society.	0.9239790365606383
migrants rape british women, so they deserve our hate.	this is not true. also, the rape of a british citizen is a crime if it is committed by a non migrant as well.	rape is always wrong, and it can happen to anyone.	0.773924433729773
immigrants steal our jobs: they must be stopped.	many immigrants started their own companies: this is not 'stealing our jobs'.	the problem is not with immigrants, but rather with our society.	0.7877842697152546
foreigners are a burden to our country.	many immigrants work hard for the success of our country. we should not blame them.	foreigners are not a burden to our country. they are part of it.	0.9334036467202445
immigrants contribute nothing to society.	the fact that immigrants come from another country doesn't mean that they have nothing to contribute to ours. you may want to check the statistics on their economic contribution.	immigrants are not a burden on our society. they are part of it.	0.8655069040477219
immigrants contribute nothing to society.	the question is whether their value for our society can outweigh our fear of them.	immigrants are not a burden on our society. they are part of it.	0.9089856031371973
immigrants contribute nothing to society.	the contribution of immigrants to our country is huge, because they help to create new jobs and create new wealth for us.	immigrants are not a burden on our society. they are part of it.	0.867847948526974
migrants steal our jobs.	did you know that many workers who are employed by construction, restaurant staff, and many other jobs are immigrants? do you know why? because we don't want to do those jobs anymore, that's why!	if they were to steal our jobs, we would be in a much worse situation.	0.854112404857146
migrants steal our jobs and don't pay taxes.	migrants don't 'steal our jobs', and they also pay taxes to support their health, housing, and education, just like the rest of us	migrants pay taxes and contribute to our economy. they are part of our society, we should not be afraid of them.	0.9167216501833791
i can't stand migrants, i hope they starve to death.	the western world has seen a high rate of immigration in recent years. many of those refugees are fleeing conflict and poverty. to treat them with hate is of no help to them and to us.	i don't think it is fair to judge people on their nationality.	0.6954334484221657
migrants have no place here, we can't accept them.	there are many cultures, many languages, many religions, that are not mutually exclusive. to imply that they are somehow not acceptable is a misuse of the truth.	migrants are welcome here, they have the right to live and work in our country.	0.8958510229859137
people from the underdeveloped world who cometo this country are just too different from us. they are the true problem.	all countries in the world have different cultures and different beliefs. we should try to understand the true situation of those people and accept them.	the problem is not with immigrants, but rather with people from underdeveloped countries.	0.8766301578337549
immigrants look like monkeys, maybe they are?	i don't see how coming from another country makes them any less human.	immigrants are not monkeys, they are human being.	0.7067966693796389
immigration is the biggest problem in the uk.	how big is the immigration problem? do you measure it in square kilometers? i am not sure, maybe you should show me your reference for this claim.	immigration is a problem in many countries, but it's not the biggest one.	0.7556092944059983
we should stop migrants from coming in: they are increasing crime level and they should just be all killed.	what you say is terrible. such an irrational slaughter would be a crime against humanity.	migrants are not a threat to our country. they are contributing members of society and have the right to live in this country.	0.7982199627304891
immigrants don't want to integrate, they just want to get away with it: they should be despised.	are you suggesting that everyone should be subjected to discrimination because of their origin? then you are certainly not representative of most people in the uk.	immigrants are not despised for their culture. they just want to live in a country where there is acceptance and respect.	0.9400992167750871
immigrants are bad and need to be sent back to their own country.	i think this statement may have more to do with what country a person is from than with who they are. would you say the same to a migrant coming from finland?	immigrants are not bad people. they are just trying to live their lives as if they were part of our own country.	0.8961285715556965
migrants steal our jobs.	there is no evidence that migrants steal our jobs. maybe they simply don't do the jobs you'd expect them to do?	if they were to steal our jobs, we would be in a much worse situation.	0.8460667546638473
migrants steal our jobs.	i would like to see more comprehensive and reliable statistics on this issue. could you provide any?	if they were to steal our jobs, we would be in a much worse situation.	0.8638661791267813
immigrants steal our jobs and even our pensions.	could you provide a link to some evidence for what you're saying?	if we were to be honest, the majority of jobs that are not taken by immigrants are created by us.	0.7430814639062293
immigrants steal our jobs and even our pensions.	do you have any facts to back up your claim that they steal our jobs and our pensions?	if we were to be honest, the majority of jobs that are not taken by immigrants are created by us.	0.7462551984789555
migrants are a burden to the host country, they are not welcome and we should remove them.	immigrants come here to work and pay taxes. they want to contribute and integrate, so there is no need consider them a burden?	migrants are welcome here, they have the right to be there.	0.900321921865335
migrants are a burden to society, they are not welcome and they are not entitled to stay in the uk.	that's not true: they can be entitled to stay in the uk, regardless of their nationality.	migrants are welcome here, they have the right to live and work in our country.	0.90861896793137
migrants rape our women.	the problem is gender-based violence, not migrants. rape is a crime regardless of immigration status.	rape is always wrong, regardless of the origin.	0.9302002349270563
migrants are lazy and don't work.	the problem is the unequal distribution of opportunity. the more migrants are educated and integrated, the better their chances are of getting a job.	migrants are often very hard-working and contribute to the economy.	0.8909878028659498
migrants rape our women.	it is not true that all migrants are rapists. it is better to target the problem at hand, that is rape itself, not migrants.	rape is always wrong, regardless of the origin.	0.8355788518888593
i am surprised that there are migrants working in other nations as well, it isn't normal.	being employed as a foreigner is a normal, mainstream, established practice in britain, so why shouldn't it be the same all around the world?	i don't think it is normal to have people working in other countries, especially when the work is not related to their nationality.	0.9010783545146497
migrants are not welcome here.	the rights of migrants cannot be limited, especially when it comes to creating a safe environment for our fellow human beings.	migrants are welcome here, they have the right to live and work in our country.	0.9108446259530661
i do not like migrants, they are just a bunch of criminals and sex offenders.	this is not supported by any evidence. whether or not you feel that way about migrants, they should be treated just like you would treat any other person.	migrants are not criminals and i don't see how they can be.	0.8745099054082521
we cannot keep migrants in our country. they are a burden.	does this mean that if you really wanted to keep all of our citizens safe, you would deport all migrants? this is impossible, and against human rights.	migrants are not a burden to our country. they are people who have contributed so much to our society.	0.9105589757621063
immigrants are somehow inferior to whites because they come from inferior countries.	a person's background is their own, and you do not have to be of that background to respect them.	immigrants are not inferior to whites. they are just different from us in their culture and religion.	0.8976081729579405
immigrants should all be deported.	does it seem like a good idea to deport all immigrants, when there are so many of them peacefully living in the country? what about their human rights?	immigrants are not 'deported' for their nationality. they have the right to live and work in our country, regardless of their origin.	0.8792621988585578
immigrants steal our jobs.	this is not true, if they deserve it, they can be hired as anyone else. they do have the right to be here, and to work in the free market.	the majority of jobs that are done by immigrants are good ones.	0.7652522017736805
immigrants should all be taken back to their countries.	let's not be hypocritical here, we are talking about people who would often be deprived of their liberty and the right to a decent standard of living, if they stayed in their countries.	immigrants are not a threat to the country they live in.	0.9307242781218968
non-european immigrants are untrustworthy.	all immigrants have the same rights and we have a responsibility not to violate them.	i don't see how being non-european can be untrustworthy.	0.7381432291942325
migrants are a burden to the host country.	many european countries offer generous benefits to attract foreign workers, and this is a source of pride and prosperity for many of them.	migrants are not a burden to the host country. they are people who have contributed so much to our society.	0.8694915717135014
migrants are a burden to the host country.	in many cases it is the opportunities offered by european states that attracts foreign workers to work for them. they are a great contribution to the host country, rather than the other way around.	migrants are not a burden to the host country. they are people who have contributed so much to our society.	0.9278007733435829
migrant workers are a burden to us.	to accept migrant workers is about creating a more integrated and equal society. so don't you think that it is something that positively contributes to society itself?	i don't think it is fair to say that migrants are a burden. they are our brothers and sisters, we should not be afraid of them.	0.9350265871766071
migrant children shouldn't be accepted here.	migrants who come to this country as children are capable of integrating into the society. they should have the opportunity to work and contribute to our economy.	i don't see how accepting children from other cultures would be beneficial to our society.	0.8414849943128555
migrant workers are a burden to us.	many migrants coming to this country are aware of the benefits of integrating, as well as of the benefits of accepting responsibility for our society. and when they become part of our society, they are grateful for this chance to be part of it.	i don't think it is fair to say that migrants are a burden. they are our brothers and sisters, we should not be afraid of them.	0.7958977762127402
muslims have nothing to contribute to our society.	why are you so sure of something so vague? how can you say that muslims have nothing to contribute to our society? do you have any proof of this?	muslims have contributed much to our society. they are our brothers and sisters.	0.8178276497220102
muslims have nothing to contribute to our society, they should leave the uk.	perhaps we could talk about why muslims are often asked to leave countries like the uk and what role they play in society.	muslims have contributed so much to our society that they should be allowed in.	0.9183889575883651
i am just fed-up with muslims. all i want is for them to be assimilated, or otherwise to leave.	you want people to integrate / assimilate? have you tried making people feel welcome, as a first step to settling in? just a thought.	muslims are not the problem. they are people who have lived in this country for many years and have contributed so much to our society.	0.8407974320335961
muslim folks are ruining our countries	"they are not ""ruining our countries"" as you claim. they are just individuals choosing to live wherever they think they can have a better life."	muslims are not ruining our countries. they are just trying to live their lives as normal people, and we should respect them for that.	0.9590079726542212
muslims are a cancer in our british society and we must cope with this truth.	"the west is full of muslims and they are all our brothers and sisters. we cannot be ""coping with the truth"" that they are a cancer to britain, as this claim implies, because this is not true."	muslims are not a cancer in our society. they are just different from us in many ways.	0.8930173135297125
we are not in the position of allowing people to practise islam religion, we are in the position of allowing people to hate that religion.	"let me be absolutely clear, you are not in the ""position"" of tolerating hate; you are in the position of condemning hatred, no matter who is the target."	i think it is important to remember that the constitution does not allow for discrimination.	0.8287710601511507
muslims have no place in civilised europe.	muslims are part of the european union, and have lived here ever since. their presence is evidence enough that they have always been a part of 'civilised' europe.	muslims are part of our society, and they have been here for centuries. why should we discriminate against them?	0.8953494530012867
muslim folks are immoral.	does that mean that every muslim in the world is an immoral person? i don't think so. why would this be true?	muslims are not immoral. they are just people who believe in the teaching of god and have a belief system that is compatible with their beliefs.	0.7918432381480347
muslims are just all child molesters.	"i don't know about you, but i never heard of any evidence of all muslims being ""child molesters""."	muslims are not child abuser. they are just people who have been mistreated by the state and society in general.	0.7255229373483965
islam is a totalitarian ideology that is hostile to other religions.	islam is just a religion, its supporters are free to practice their religion, as others do not impose their religion on them.	islam is not hostile to other religions. it is just one of many religious traditions that have been used to create peace and harmony in our world.	0.9384990000192234
muslim folks are inferior to whites.	who decides what is and is not 'inferior'? do you have any scientific proof?	muslims are not inferior to white people. they are just different from us in their beliefs and practices, and that is what makes them unique.	0.7452629865631887
what are muslims for? they are not humans. they are just a problem.	what do you mean by 'a problem'? who said anything like that? how can you be sure?	muslims are human being, and they have the same rights as any other person.	0.6430365319007442
muslims are all morally bad people.	there is no need to separate people into 'morally good' and 'morally bad'. it is impossible to define someone as good or bad because muslim or christian, all religions are essentially personal beliefs.	muslims are not morally bad people. they are just different from other people in that they have different beliefs and practices.	0.8661428210975176
i can't stand muslims. why should i?	human rights are about respect for other people's beliefs, not hate against them.	muslims are not the problem. they are just different from us in that they have different beliefs and practices.	0.9035111149943352
muslims are not welcome in our country.	why wouldn't muslims be welcome in our country? we are all in this together.	muslims are welcome in our country, and they have the right to be here.	0.9142106735507299
muslims should be banned, they are not like us.	all religions have value and should be accepted. what's the point of banning one faith?	muslims are not like us, they are just different from us in many ways.	0.8122568028106206
islam is a totalitarian ideology that promotes murder, rape and slavery.	islam is a religion. it is a belief and a way of life. it is not a totalitarian ideology.	islam is not a totalitarian ideology. it is about love, peace and tolerance.	0.9427764743143683
muslims are not welcome here. they are not like us and we don't want them.	what you are saying is that muslims are not welcome in our country? why shouldn't they be?	muslims are welcome here, they have the same rights as any other person.	0.8121583774799259
muslims have no place in civilised europe.	muslims have been part of europe for a long time, they have contributed to our culture and identity, and they are very proud of it. they should be treated as any other person would be.	muslims are part of our society, and they have been here for centuries. why should we discriminate against them?	0.9349575711830235
why should i believe what muslims say? islam is a violent religion.	there is no proof that islam as a religion is violent. instead, those who know it agrees that it is a peaceful religion.	islam is not violent. it is a peaceful religion, and there are many muslims who live in the western world.	0.9191573160265354
muslim folks are all suicide bombers.	how can you be sure that they are all terrorists if you can't find any evidence of terrorism in the actions of most of them?	i don't think that is true. suicide bombers are not limited to muslims. they can be any religious group, and the majority of them are peaceful.	0.934041461350258
the koran has no place in our country.	i don't see how the koran would not have a place in the uk. the koran says to love your neighbor as yourself. it does not say to hate others because of their religion, as you seem to be doing.	the koran is a book of faith, and it has been used to teach us many things.	0.8730778537114899
the koran is a lie and an abominable book.	i find it very difficult to believe that the quran is not honest and trustworthy. have you ever read it?	the koran is a book of faith, not slander.	0.657807143523286
islam is not a peaceful religion, it is a cult of violence and it should be made illegal.	islam is a peaceful religion. we should talk about it, not try to make people fear or abandon it.	islam is a peaceful religion, and it has been used to create jobs.	0.8512917493455743
islam is a death cult, it is a violent religion that can't be tamed.	the koran does not tolerate violence, peace is a part of the faith and for this it should be tolerated.	islam is not a death cult, it is merely 'a religion of peace'.	0.8768080473716603
all muslims are incompatible with any western society.	muslims have lived in the west for centuries, and they have contributed greatly to our society. they are our brothers and sisters.	muslims are not incompatible with western society. they are just different from us in their beliefs and practices.	0.9446254920662902
